filename,width,height,class,xmin,ymin,xmax,ymax
005247_02_jpg.rf.1fc43c7713f18f084cc62a9d0871a63d.jpg,640,640,motercycle,25,52,640,640
005247_02_jpg.rf.1fc43c7713f18f084cc62a9d0871a63d.jpg,640,640,car,556,411,640,561
004835_10_jpg.rf.1dfd07dc6ed2d8938a3b12f1227ccc69.jpg,640,640,bus,17,0,620,639
004835_10_jpg.rf.1dfd07dc6ed2d8938a3b12f1227ccc69.jpg,640,640,car,578,268,640,455
004428_09_jpg.rf.201529ab10170c54b6e3142aa4a800cd.jpg,640,640,motercycle,0,2,640,638
004331_10_jpg.rf.20cea9662786ef49f596d43c80e34ea1.jpg,640,640,motercycle,0,0,635,640
004945_10_jpg.rf.1e4259c1de5755e79240065778069508.jpg,640,640,motercycle,21,0,640,640

003604_09_jpg.rf.1ef03673c86c918a21dfd7cf4ddfba96.jpg,640,640,car,553,27,640,204
004114_10_jpg.rf.1ee9cffe7a44db6470fadd246541d056.jpg,640,640,motercycle,2,2,637,634
005186_00_jpg.rf.1e3249d18ffa5ca50ac114363e887045.jpg,640,640,motercycle,0,1,640,640
004387_09_jpg.rf.1fdb5acd060e479a97b0484c376e57e9.jpg,640,640,car,2,1,636,637
004408_00_jpg.rf.1dd986f687c16c4d5ef769d918e4df96.jpg,640,640,bus,0,38,633,624
005420_00_jpg.rf.1eea3d74c2bbcbbdb4e5ad6b428e3b4a.jpg,640,640,bus,3,52,634,607
004453_09_jpg.rf.202f46c7d77a1700b0cc4a83e8e275a3.jpg,640,640,bus,6,30,623,590
004996_10_jpg.rf.20dcdd32e9a4087b96bd3f0ecffeaf89.jpg,640,640,motercycle,0,25,640,640
005120_02_jpg.rf.1e809bed97c523afcae51c503d9b116c.jpg,640,640,motercycle,8,20,637,627
004634_00_jpg.rf.1fc61a2df47851995461e55632434135.jpg,640,640,motercycle,0,0,640,640
004924_10_jpg.rf.1e315e5a545ab16f401698d063f7204f.jpg,640,640,motercycle,0,0,640,640
004347_09_jpg.rf.1e21b13d6a3970abbbd37be18fabd2e1.jpg,640,640,bus,0,0,601,640
004347_09_jpg.rf.1e21b13d6a3970abbbd37be18fabd2e1.jpg,640,640,motercycle,202,242,451,380
005197_05_jpg.rf.1e1c6c4122eea689b08d99fce2c8356f.jpg,640,640,motercycle,174,322,368,452
005168_02_jpg.rf.1ffdec8061945b3c34f91558d14aa67b.jpg,640,640,bus,521,562,566,608
005168_02_jpg.rf.1ffdec8061945b3c34f91558d14aa67b.jpg,640,640,motercycle,22,0,624,639
004691_01_jpg.rf.1dcb9ec234bd1f4521d3ab48f6cc5294.jpg,640,640,motercycle,8,39,618,581
003951_00_jpg.rf.1ebf518f8f06f1f7a19792cd696b8c46.jpg,640,640,car,0,0,640,640
005110_18_jpg.rf.214ed0419f57b1351d3dfe13eb4c20cf.jpg,640,640,car,0,0,426,305
004912_09_jpg.rf.21ac2ef947d8625be326cc9f652840c5.jpg,640,640,bus,4,19,623,637
004912_09_jpg.rf.21ac2ef947d8625be326cc9f652840c5.jpg,640,640,car,598,416,640,539
004735_09_jpg.rf.1ee28716a8bdafaf301f732ad82d8383.jpg,640,640,motercycle,1,4,637,611
005105_17_jpg.rf.20e2c1fb0b081d3da68921e7ac0356e3.jpg,640,640,car,25,0,640,640
005170_00_jpg.rf.217df369dc963daec54f5bcf1111b139.jpg,640,640,bus,136,376,197,456
005170_00_jpg.rf.217df369dc963daec54f5bcf1111b139.jpg,640,640,motercycle,3,0,640,640
004910_05_jpg.rf.21d4c43e48475f08ea46069cc8668c1d.jpg,640,640,motercycle,2,71,638,619
004877_18_jpg.rf.1fe0918cad388e9fc64039b91655dfca.jpg,640,640,bus,0,0,640,640
004723_01_jpg.rf.22835007a131a0cf25a08619a5aa6cb8.jpg,640,640,motercycle,0,0,640,640
005290_17_jpg.rf.223ded4abd37d949a88dfcbfd93965d1.jpg,640,640,ambulance,0,5,640,640
004897_00_jpg.rf.22b89544163c116c517548da8233a6c0.jpg,640,640,motercycle,1,3,622,583
004395_10_jpg.rf.237993d7e3a62809470794d39b1549ef.jpg,640,640,bus,277,293,327,392
004395_10_jpg.rf.237993d7e3a62809470794d39b1549ef.jpg,640,640,motercycle,3,57,628,594
005021_05_jpg.rf.229e38e0725a52062446fc347ada023f.jpg,640,640,ambulance,0,0,639,639
005247_02_jpg.rf.22d1677b3717610825a19046c5e9a01d.jpg,640,640,motercycle,14,40,640,640
